ClauseNum	Clause	p/n	class
0	sublessees;UNDERWRITER;obligations;stolen;	positive	0
1	1,556;secure;defaults;	negative	0
2	SCOTT;relating;	positive	0
3	transparency;Covenants;	negative	0
4	70,476;Offering;Lance;	positive	0
5	1,092;rather;reissuances;	negative	0
6	Virginia;desire;	positive	0
7	day;	negative	0
8	1.30;	positive	0
9	2.3(a;insufficiency;prevent;COUNTRY;happy;Risks;	negative	0
10	715;	positive	0
11	accountants;Describe;Covenants;	negative	0
12	alleged;hepatic;	positive	0
13	14.2;secure;Macau;	negative	0
14	counting;	positive	0
15	allocating;	negative	0
16	Notification;3483180;715;	positive	0
17	1,092;1,556;defaults;	negative	0
18	TAKE;	positive	0
19	d.;skill;	negative	0
20	45701;	positive	0
21	Cuba;skill;	negative	0
22	Gross;	positive	0
23	Americas;Obtain;Covenants;Notification;3.5.2;happy;continuation;	negative	0
24	remaining;insufficiency;c)(iii;3483180;	positive	0
25	prevent;dependent;	negative	0
26	insufficiency;87,500;controversies;	positive	0
27	Consideration;14.2;	negative	0
28	363(m;715;	positive	0
29	suffer;	negative	0
30	5.6;	positive	0
31	PENALTY;	negative	0
32	Consideration;PHP;	positive	0
33	2.3(a;14.2;	negative	0
34	a.;53226;	positive	0
35	Posner;conviction;17480;	negative	0
36	408;	positive	0
37	accountants;14.2;COUNTRY;day;	negative	0
38	insufficiency;Timeframe;resold;	positive	0
39	2.3(a;day;	negative	0
40	793;assessing;debtors;communicated;Apache;1.30;injuries;AdWords;switch;PIZZA;3599;calibration;9.01;	positive	0
41	Americas;day;	negative	0
42	sublessees;So;c)(iii;	positive	0
43	Describe;Covenants;	negative	0
44	6563;claims;	positive	0
45	accountants;Islands;insufficiency;17480;	negative	0
46	database;	positive	0
47	2.3(a;accountants;Islands;Obtain;Covenants;17480;	negative	0
48	NAME;WhiteSmoke;2022;	positive	0
49	impossibility;1,092;	negative	0
50	1.17;	positive	0
51	2.3(a;International;Islands;17480;1,092;	negative	0
52	So;insufficiency;Timothy;deeds;terminating;PLCCs;Mersky;VIII;compositions;Process;happenings;nnn;2(c)3;Zulfiquar;38;Material;body;2.3.1(b;prospectuses;recourse;11(a;hepatic;fide;601;2,233;discloser;13.18;No.-3;a.;communications;server;manifest;Apache;recommendation;RESPONSIBILITIES;E.;Treatment;WhiteSmoke;Floor;356;Ability;FEE;TO;Lance;easily;placement;Benefit;WITH;ASSUMPTION;Timeframe;deductibles;fix;sustains;1,603;sender;award;William;Virginia;Naples;chapter;reduced;dispense;50,070;valves;1,983;9.01;	positive	0
53	Covenants;1,556;defaults;	negative	0
54	reasonable;controversies;combined;a.;recommendation;	positive	0
55	impossibility;iron-;	negative	0
56	easily;	positive	0
57	we;prevent;1,092;secure;rather;	negative	0
58	News;lets;preclude;insurrections;PIZZA;	positive	0
59	17480;	negative	0
60	408;	positive	0
61	we;2.3(a;accountants;Islands;Timothy;17480;prevent;COUNTRY;	negative	0
62	So;66,582;	positive	0
63	transparency;2.3(a;shortage;	negative	0
64	White;	positive	0
